Area,Year,Value_Tonnes
Switzerland,2016,227300
Switzerland,2017,145864
Switzerland,2018,296778
Switzerland,2019,191435
Switzerland,2020,192443
Syrian Arab Republic,2010,393146
Syrian Arab Republic,2011,307760
Syrian Arab Republic,2012,349166
Syrian Arab Republic,2013,256614
Syrian Arab Republic,2014,397858
Syrian Arab Republic,2015,307031
Syrian Arab Republic,2016,451585
Syrian Arab Republic,2017,308985
Syrian Arab Republic,2018,476635
Syrian Arab Republic,2019,286564
Syrian Arab Republic,2020,267823
Tajikistan,2010,156000
Tajikistan,2011,183300
Tajikistan,2012,218300
Tajikistan,2013,227000
Tajikistan,2014,236000
Tajikistan,2015,230387
Tajikistan,2016,230647
Tajikistan,2017,234039
Tajikistan,2018,238837
Tajikistan,2019,234508
Tajikistan,2020,235795
Tunisia,2010,126000
Tunisia,2011,128000
Tunisia,2012,111000
Tunisia,2013,120000
Tunisia,2014,121500
Tunisia,2015,90000
Tunisia,2016,126000
Tunisia,2017,98300
Tunisia,2018,140000
Tunisia,2019,116000
Tunisia,2020,153000
Türkiye,2010,2600000
Türkiye,2011,2680075
Türkiye,2012,2888985
Türkiye,2013,3128450
Türkiye,2014,2480444
Türkiye,2015,2569759
Türkiye,2016,2925828
Türkiye,2017,3032164
Türkiye,2018,3625960
Türkiye,2019,3618752
Türkiye,2020,4300486
Turkmenistan,2010,63000
Turkmenistan,2011,62800
Turkmenistan,2012,63300
Turkmenistan,2013,63200
Turkmenistan,2014,63100
Turkmenistan,2015,63200
Turkmenistan,2016,63200
Turkmenistan,2017,63200
Turkmenistan,2018,64018
Turkmenistan,2019,66380
Turkmenistan,2020,66257
Ukraine,2010,897000
Ukraine,2011,954100
Ukraine,2012,1126800
Ukraine,2013,1211400
Ukraine,2014,1085350
Ukraine,2015,1179570
Ukraine,2016,1099240
Ukraine,2017,1076180
Ukraine,2018,1462360
Ukraine,2019,1153970
Ukraine,2020,1114570
United Kingdom of Great Britain and Northern Ireland,2010,235450
United Kingdom of Great Britain and Northern Ireland,2011,239890
United Kingdom of Great Britain and Northern Ireland,2012,203550
United Kingdom of Great Britain and Northern Ireland,2013,398500
United Kingdom of Great Britain and Northern Ireland,2014,451400
United Kingdom of Great Britain and Northern Ireland,2015,459600
United Kingdom of Great Britain and Northern Ireland,2016,481100
United Kingdom of Great Britain and Northern Ireland,2017,535300
United Kingdom of Great Britain and Northern Ireland,2018,548721
United Kingdom of Great Britain and Northern Ireland,2019,609180
United Kingdom of Great Britain and Northern Ireland,2020,523331
United States of America,2010,4210290
United States of America,2011,4281731
United States of America,2012,4078839
United States of America,2013,4731694
United States of America,2014,5358740
United States of America,2015,4556790
United States of America,2016,5214040
United States of America,2017,5240670
United States of America,2018,4644790
United States of America,2019,5028526
United States of America,2020,4650684
Uruguay,2010,52226
Uruguay,2011,73368
Uruguay,2012,50270
Uruguay,2013,45626
Uruguay,2014,52762
Uruguay,2015,55454
Uruguay,2016,37675
Uruguay,2017,45742
Uruguay,2018,45881
Uruguay,2019,42322
Uruguay,2020,37039
Uzbekistan,2010,712000
Uzbekistan,2011,769363
Uzbekistan,2012,829000
Uzbekistan,2013,894000
Uzbekistan,2014,965000
Uzbekistan,2015,1060000
Uzbekistan,2016,1441566
Uzbekistan,2017,1028796
Uzbekistan,2018,1130335
Uzbekistan,2019,1124017
Uzbekistan,2020,1148455
